archivo,familia,base,anio,cobertura,nivel,grado,area,nivel_grado_inferido
2020 Trayectoria - agregada.xlsx,RA,Trayectoria,2020.0,,,,,
2021 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2021.0,Censal,Primaria,6 grado,Lengua,False
2021 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2021.0,Censal,Primaria,6 grado,Matematica,False
2021 Base APRENDER - Censal - Primaria 6 grado - Agregada - Solo CC.xlsx,APRENDER,,2021.0,Censal,Primaria,6 grado,Solo CC,False
2021 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2021.0,,,,,
2021 Cargos - agregada.xlsx,RA,Cargos,2021.0,,,,,
2021 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2021.0,,,,,
2021 Matricula - agregada.xlsx,RA,Matricula,2021.0,,,,,
2021 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2021.0,,,,,
2021 Poblacion - agregada.xlsx,RA,Poblacion,2021.0,,,,,
2021 Trayectoria - agregada.xlsx,RA,Trayectoria,2021.0,,,,,
2022 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2022.0,Censal,Secundaria,5-6 año,Lengua,False
2022 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2022.0,Censal,Secundaria,5-6 año,Matematica,False
2022 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Solo CC.xlsx,APRENDER,,2022.0,Censal,Secundaria,5-6 año,Solo CC,False
2022 Base APRENDER - Muestral - Primaria 6 grado - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2022.0,Muestral,Primaria,6 grado,Lengua,False
2022 Base APRENDER - Muestral - Primaria 6 grado - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2022.0,Muestral,Primaria,6 grado,Matematica,False
2022 Base APRENDER - Muestral - Primaria 6 grado - Agregada - Solo CC.xlsx,APRENDER,,2022.0,Muestral,Primaria,6 grado,Solo CC,False
2022 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2022.0,,,,,
2022 Cargos - agregada.xlsx,RA,Cargos,2022.0,,,,,
2022 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2022.0,,,,,
2022 Matricula - agregada.xlsx,RA,Matricula,2022.0,,,,,
2022 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2022.0,,,,,
2022 Poblacion - agregada.xlsx,RA,Poblacion,2022.0,,,,,
2022 Trayectoria - agregada.xlsx,RA,Trayectoria,2022.0,,,,,
2023 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2023.0,Censal,Primaria,6 grado,Lengua,False
2023 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2023.0,Censal,Primaria,6 grado,Matematica,False
2023 Base APRENDER - Censal - Primaria 6 grado - Agregada - Solo CC.xlsx,APRENDER,,2023.0,Censal,Primaria,6 grado,Solo CC,False
2023 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2023.0,,,,,
2023 Cargos - agregada.xlsx,RA,Cargos,2023.0,,,,,
2023 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2023.0,,,,,
2023 Matricula - agregada.xlsx,RA,Matricula,2023.0,,,,,
2023 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2023.0,,,,,
2023 Poblacion - agregada.xlsx,RA,Poblacion,2023.0,,,,,
2023 Trayectoria - agregada.xlsx,RA,Trayectoria,2023.0,,,,,
2024 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2024.0,Censal,Secundaria,5-6 año,Lengua,False
2024 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2024.0,Censal,Secundaria,5-6 año,Matematica,False
2024 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Solo CC.xlsx,APRENDER,,2024.0,Censal,Secundaria,5-6 año,Solo CC,False
2024 Base APRENDER - Muestral - Primaria 3 grado - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2024.0,Muestral,Primaria,3 grado,Lengua,False
2024 Base APRENDER - Muestral - Primaria 3 grado - Agregada - Solo CC.csv.xlsx,APRENDER,,2024.0,Muestral,Primaria,3 grado,Solo CC,False
2024 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2024.0,,,,,
2024 Cargos - agregada.xlsx,RA,Cargos,2024.0,,,,,
2024 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2024.0,,,,,
2024 Matricula - agregada.xlsx,RA,Matricula,2024.0,,,,,
2024 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2024.0,,,,,
2024 Poblacion - agregada.xlsx,RA,Poblacion,2024.0,,,,,
2024 Trayectoria - agregada.xlsx,RA,Trayectoria,2024.0,,,,,
2025 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2025.0,Censal,Primaria,6 grado,Lengua,False
2025 Base APRENDER - Censal - Primaria 6 grado - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2025.0,Censal,Primaria,6 grado,Matematica,False
2025 Base APRENDER - Censal - Primaria 6 grado - Agregada - Solo CC.xlsx,APRENDER,,2025.0,Censal,Primaria,6 grado,Solo CC,False
2025 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2025.0,,,,,
2025 Cargos - agregada.xlsx,RA,Cargos,2025.0,,,,,
2025 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2025.0,,,,,
2025 Matricula - agregada.xlsx,RA,Matricula,2025.0,,,,,
2025 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2025.0,,,,,
2025 Poblacion - agregada.xlsx,RA,Poblacion,2025.0,,,,,
2025 Trayectoria - agregada.xlsx,RA,Trayectoria,2025.0,,,,,
Diccionario de bases RA anonimizadas.xlsx,DICCIONARIO,,,,,,,
"ICSE 2022_provincias, deptos y fracción.xlsx",OTRO,,,,,,,
